X,Y,ObjectId,AQSID,CountryCode,DataSource,EPARegion,Elevation,GMTOffset,Latitude,LocalTimeString,Longitude,OZONE,OZONEPM_AQI,OZONEPM_AQI_LABEL,OZONEPM_AQI_SORT,OZONE_AQI,OZONE_AQI_LABEL,OZONE_AQI_SORT,OZONE_Measured,OZONE_Unit,PM10,PM10_AQI,PM10_AQI_LABEL,PM10_AQI_SORT,PM10_Measured,PM10_Unit,PM25,PM25_AQI,PM25_AQI_LABEL,PM25_AQI_SORT,PM25_Measured,PM25_Unit,PM_AQI,PM_AQI_LABEL,PM_AQI_SORT,ReportingArea_PipeDelimited,SiteName,StateName,Status
-11855649.4454,3732902.7334,277720020,481410037,US,Texas Commission on Environmental Quality,R6,1159,-7,31.768056,Fri 08/18/2023 01:00 AM MDT,-106.501111,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,El Paso,El Paso UTEP C12,TX,Active
-10912527.231,3465583.8971,277720021,481870504,US,Texas Commission on Environmental Quality,R6,195.2,-6,29.7042,Fri 08/18/2023 02:00 AM CDT,-98.0289,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,New Braunfels Airport C504,TX,Inactive
-12449726.8361,3962928.0924,277720022,040137024,US,Salt River Pima-Maricopa Indian Community,R9,394.4,-7,33.507999,Fri 08/18/2023 12:00 AM MST,-111.837799,44,43,43,43,43,43,43,1,PPB,50.0,31.0,31,31,1,UG/M3,,,ND,-999,0,,31,31,31,Salt River Pima-Maricopa Indian Community,High School,AZ,Active
15098752.676,4117537.0192,277720023,027227020,,Japan Ministry of Environment,,0,9,34.658264,Fri 08/18/2023 04:00 PM JST,135.634403,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 027227020,,Active
14991249.5513,4013370.3665,277720024,036204020,,Japan Ministry of Environment,,0,9,33.884997,Fri 08/18/2023 04:00 PM JST,134.668686,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 036204020,,Active
14836775.2788,4023129.2196,277720025,038205010,,Japan Ministry of Environment,,0,9,33.957742,Fri 08/18/2023 04:00 PM JST,133.28102,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 038205010,,Active
14552749.7206,3994605.3042,277720026,040204010,,Japan Ministry of Environment,,0,9,33.744943,Fri 08/18/2023 04:00 PM JST,130.729575,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 040204010,,Active
-13701427.4582,6276536.1228,277720027,000100140,CA,Metro Vancouver,CA,52.2,-8,49.009869,Fri 08/18/2023 12:00 AM PDT,-123.082017,24,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,5.2,22,22,22,1,UG/M3,22,22,22,,Tsawwassen,CC,Active
-10361950.3804,5617041.9965,277720028,271231907,US,Minnesota Pollution Control Agency,R5,0,-6,44.971539,Fri 08/18/2023 02:00 AM CDT,-93.082984,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,St. Paul Payne - Phalen,MN,Inactive
15722912.378,5331138.009,277720029,001107030,,Japan Ministry of Environment,,0,9,43.12579,Fri 08/18/2023 04:00 PM JST,141.241325,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 001107030,,Active
15247836.1909,4394559.9148,277720030,016202020,,Japan Ministry of Environment,,0,9,36.679738,Fri 08/18/2023 04:00 PM JST,136.973643,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 016202020,,Active
15423000.4152,4256014.2233,277720031,019201020,,Japan Ministry of Environment,,0,9,35.675151,Fri 08/18/2023 04:00 PM JST,138.54717,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 019201020,,Active
15088085.5971,4114605.2728,277720032,027121510,,Japan Ministry of Environment,,0,9,34.636598,Fri 08/18/2023 04:00 PM JST,135.538579,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 027121510,,Active
-8970213.9577,4927617.8586,277720033,540291004,US,West Virginia Division of Air Quality - Wheeling,R3,0,-5,40.4231,Fri 08/18/2023 03:00 AM EDT,-80.580803,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,WEIRTON,WV,Inactive
-10866946.1297,3218469.5697,277720034,483550664,US,Texas Commission on Environmental Quality,R6,3.1,-6,27.75778,Fri 08/18/2023 02:00 AM CDT,-97.619438,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Violet C664,TX,Active
-12480863.009,3956641.7456,277720035,040133010,US,Maricopa County Air Quality Department,R9,325.1,-7,33.4609,Fri 08/18/2023 12:00 AM MST,-112.1175,,,ND,-999,,ND,-999,0,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,Phoenix,Greenwood,AZ,Inactive
-8715392.1773,4167238.2822,277720036,371630005,US,North Carolina DEQ - Division of Air Quality,R4,32.9,-5,35.0247,Fri 08/18/2023 03:00 AM EDT,-78.2917,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,CLINTCRP,NC,Inactive
-8887748.1449,4199270.4807,277720037,371239991,US,EPA Office of Atmospheric Protection,R3,197.9,-5,35.26,Fri 08/18/2023 03:00 AM EDT,-79.84,,30,30,30,30,30,30,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Montgomery County,Candor,NC,Active
-8267485.0704,4940151.9709,277720038,340232003,US,New Jersey Dept. of Environmental Protection,R2,13.7,-5,40.508762,Fri 08/18/2023 03:00 AM EDT,-74.268082,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Perth Amboy,NJ,Inactive
-8322597.6805,4898316.7309,277720039,840340210008,US,New Jersey Dept. of Environmental Protection,R2,14.9,-5,40.222421,Fri 08/18/2023 03:00 AM EDT,-74.763167,,38,38,38,,ND,-999,0,,,,ND,-999,0,,10.3,38,38,38,1,UG/M3,38,38,38,Central,Trenton,NJ,Active
-12650089.7857,8432426.9748,277720040,000129602,CA,Canadian Air and Precipitation Monitoring Network,CA,284,-7,60.1465,Fri 08/18/2023 01:00 AM MDT,-113.63769,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Wood Buffalo Park,CC,Active
-8189426.7303,5702518.8178,277720041,CC0050136,CA,Canada-Quebec2,CA,0,-5,45.512189,Fri 08/18/2023 03:00 AM EDT,-73.566872,,19,19,19,,ND,-999,0,,,,ND,-999,0,,4.6,19,19,19,1,UG/M3,19,19,19,,St-Dominique,,Active
-13634637.0996,5702486.2524,277720042,410512008,US,Oregon Dept. of Environmental Quality,R10,0,-8,45.511984,Fri 08/18/2023 12:00 AM PDT,-122.482029,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Gresham,OR,Inactive
15711245.2048,4742756.7347,277720043,003204010,,Japan Ministry of Environment,,0,9,39.147047,Fri 08/18/2023 04:00 PM JST,141.136517,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 003204010,,Active
14586110.1683,4037857.6752,277720044,035201010,,Japan Ministry of Environment,,0,9,34.067414,Fri 08/18/2023 04:00 PM JST,131.029257,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 035201010,,Active
14529036.6653,3935671.0691,277720045,040203060,,Japan Ministry of Environment,,0,9,33.303597,Fri 08/18/2023 04:00 PM JST,130.516557,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 040203060,,Active
-8966411.1725,4958692.7465,277720046,390290022,US,Ohio EPA-DAPC,R5,0,-5,40.635275,Fri 08/18/2023 03:00 AM EDT,-80.546642,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,East Liverpool,OH,Inactive
-12613077.1682,4464086.5348,277720047,490530007,US,Utah Department of Environmental Quality,R8,0,-7,37.179,Fri 08/18/2023 01:00 AM MDT,-113.3052,,31,31,31,31,31,31,1,,,,ND,-999,0,,,11,11,11,1,,11,11,11,Hurricane,Hurricane,UT,Active
-9076542.6617,3584367.2199,277720048,120890010,US,Florida Dept. of Environmental Protection,R4,4.9,-5,30.62673,Fri 08/18/2023 03:00 AM EDT,-81.53597,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Nassau County,Yulee,FL,Inactive
-16444924.4727,9567871.2711,277720049,020900034,US,State of Alaska DEC,R10,132.1,-9,64.8458,Thu 08/17/2023 11:00 PM AKDT,-147.72727,,19,19,19,19,19,19,1,,,5.0,5,5,1,,,8,8,8,1,,8,8,8,Fairbanks,NCore,AK,Active
-11048927.0031,2222987.5216,277720050,800150131,MX,Red de Monitoreo de la Calidad del Aire de la Ciudad de Mexico,MX,2342.4,-6,19.577,Fri 08/18/2023 01:00 AM CST,-99.2542,,10,10,10,10,10,10,1,,,,ND,-999,1,,,,ND,-999,0,,,ND,-999,Mexico City,Atizapán,MX,Active
-12464220.7451,3947998.4087,277720051,040134019,US,Maricopa County Air Quality Department,R9,353.8,-7,33.3961,Fri 08/18/2023 12:00 AM MST,-111.968,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,,Diablo,AZ,Inactive
-8938431.9091,3032833.3251,277720052,120110031,US,Broward County Natural Resources Division,R4,0,-5,26.2722,Fri 08/18/2023 03:00 AM EDT,-80.2953,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Broward County|Hollywood,CORAL_SPRINGS,FL,Inactive
-10136318.6856,3593952.9855,277720053,220330013,US,Louisiana Department of Environmental Quality,R6,0,-6,30.7008,Fri 08/18/2023 02:00 AM CDT,-91.0561,17,20,20,20,20,20,20,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Baton Rouge Area,Pride,LA,Active
-7844839.2503,5364335.1002,277720054,230312002,US,Maine Dept. of Environmental Protection,R1,0,-5,43.343056,Fri 08/18/2023 03:00 AM EDT,-70.47139,,28,28,28,28,28,28,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Southwest Coast,Kennebunkport,ME,Active
-8080804.2881,5177261.1046,277720055,250130016,US,Massachusetts Dept. of Environmental Protection,R1,0,-5,42.1086,Fri 08/18/2023 03:00 AM EDT,-72.5911,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Springfield,Springfield,MA,Inactive
-11142586.7699,2955315.7621,277720056,80039SE02,MX,Sistema Integral de Monitoreo Ambiental,MX,118,-6,25.64611,Fri 08/18/2023 01:00 AM CST,-100.09556,,,ND,-999,,ND,-999,1,,,,ND,-999,1,,,,ND,-999,1,,,ND,-999,Monterrey,Juarez,MX,Active
-12519347.2702,4111284.4722,277720057,040258034,US,Arizona Department of Environmental Quality,R9,0,-7,34.61205,Fri 08/18/2023 12:00 AM MST,-112.46321,48,42,42,42,42,42,42,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Prescott,Prescott Pioneer Park,AZ,Active
15066101.2222,4128216.5131,277720058,028204010,,Japan Ministry of Environment,,0,9,34.737139,Fri 08/18/2023 04:00 PM JST,135.34109,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 028204010,,Active
14847656.4251,4088513.217,277720059,034207060,,Japan Ministry of Environment,,0,9,34.443525,Fri 08/18/2023 04:00 PM JST,133.378767,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 034207060,,Active
14562274.8842,3943628.2425,277720060,040228010,,Japan Ministry of Environment,,0,9,33.363318,Fri 08/18/2023 04:00 PM JST,130.815141,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 040228010,,Active
-13645056.0473,5710467.3719,277720061,840410512011,US,Oregon Dept. of Environmental Quality,R10,0,-8,45.562203,Fri 08/18/2023 12:00 AM PDT,-122.575624,,13,13,13,,ND,-999,0,,,,ND,-999,0,,2.7,13,13,13,1,UG/M3,13,13,13,Portland,Portland Cully Helensview School,OR,Active
-8217348.1076,4973958.8996,277720062,360810125,US,New York Dept. of Environmental Conservation,R2,14.6,-5,40.739264,Fri 08/18/2023 03:00 AM EDT,-73.817694,,8,8,8,,ND,-999,0,,,,ND,-999,0,,1.3,8,8,8,1,UG/M3,8,8,8,,Queens Near-road,NY,Active
15583780.0464,4305304.3078,277720063,008211010,,Japan Ministry of Environment,,0,9,36.034026,Fri 08/18/2023 04:00 PM JST,139.991478,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,JPN Site 008211010,,Active
